Features,Model,Forecasting window,RMSE,MAPE,MAE
Keywords + Lag,XGBoost,10,145.07,0.37,131.29
Keywords + Lag,XGBoost,11,71.34,0.15,63.52
Keywords + Lag,XGBoost,12,94.44,0.1,85.79
Keywords + Lag,XGBoost,13,117.2,0.12,91.24
Keywords + Lag,XGBoost,14,155.13,0.21,139.58
Keywords + Lag,XGBoost,15,278.66,0.34,236.52
Keywords + Lag,XGBoost,16,330.17,0.34,322.83
Keywords + Lag,XGBoost,17,135.87,0.16,131.79
Keywords + Lag,XGBoost,18,142.7,0.24,134.73
Keywords + Lag,XGBoost,19,202.12,0.31,149.83
Keywords + Lag,XGBoost,20,126.31,0.14,118.91
Keywords + Lag,XGBoost,21,46.84,0.05,43.22
Keywords + Lag,XGBoost,22,674.5,0.35,494.27
Keywords + Lag,XGBoost,23,526.94,0.66,471.21
Keywords + Lag,XGBoost,24,365.36,0.22,298.47
Keywords + Lag,XGBoost,25,263.71,0.16,228.65
Keywords + Lag,XGBoost,26,656.89,0.32,517.15
Keywords + Lag,XGBoost,27,364.45,0.27,322.06
Keywords + Lag,XGBoost,28,274.6,0.17,236.56
Keywords + Lag,XGBoost,29,196.42,0.13,173.4
Keywords + Lag,XGBoost,30,263.61,0.2,236.12
Keywords + Lag,XGBoost,31,303.72,0.24,249.04
Keywords + Lag,XGBoost,32,364.17,0.22,345.27
Keywords + Lag,XGBoost,33,247.59,0.12,186.69
Keywords + Lag,XGBoost,34,104.26,0.07,96.71
Keywords + Lag,XGBoost,35,315.58,0.18,294.14
Keywords + Lag,XGBoost,36,745.32,0.33,692.91
Keywords + Lag,XGBoost,37,252.71,0.11,246.44
Keywords + Lag,XGBoost,38,899.08,0.19,649.38
Keywords + Lag,XGBoost,39,621.17,0.17,527.32
Keywords + Lag,XGBoost,40,494.43,0.09,350.68
Keywords + Lag,XGBoost,41,859.39,0.11,530.1
Keywords + Lag,XGBoost,42,2265.83,0.29,1866.72
Keywords + Lag,XGBoost,43,2430.24,0.35,2049.27
Keywords + Lag,XGBoost,44,592.73,0.07,429.12
Keywords + Lag,XGBoost,45,2514.33,0.18,1705.18
Keywords + Lag,XGBoost,46,11512.14,0.52,8199.92
Keywords + Lag,XGBoost,47,9061.21,0.76,5836.13
Keywords + Lag,XGBoost,48,1072.85,0.15,920.62
Keywords + Lag,XGBoost,49,2684.2,0.2,2382.21
Keywords + Lag,XGBoost,50,10291.54,0.44,9191.62
Keywords + Lag,XGBoost,51,6765.02,0.6,5044.72
Keywords + Lag,XGBoost,52,2563.03,0.14,2017.73
Keywords + Lag,XGBoost,53,3139.52,0.18,2695.02
Keywords + Lag,XGBoost,54,2137.73,0.11,2039.88
Keywords + Lag,XGBoost,55,4451.69,0.22,3775.11
Keywords + Lag,XGBoost,56,964.32,0.05,811.49
Keywords + Lag,XGBoost,57,1348.38,0.05,899.91
Keywords + Lag,XGBoost,58,4156.7,0.17,3341.04
Keywords + Lag,XGBoost,59,5032.42,0.15,3335.82
Keywords + Lag,XGBoost,60,2400.01,0.1,2306.4
Keywords + Lag,XGBoost,61,3710.85,0.12,3096.09
Keywords + Lag,XGBoost,62,2297.57,0.09,2001.93
Keywords + Lag,XGBoost,63,3341.73,0.11,2914.58
Keywords + Lag,XGBoost,64,1146.07,0.04,1143.18
Keywords + Lag,XGBoost,65,2298.21,0.08,2136.95
Keywords + Lag,XGBoost,66,11196.52,0.31,10852.98
Keywords + Lag,ARIMAX,1,332.82,0.91,250.25
Keywords + Lag,ARIMAX,2,295.14,1.1,268.27
Keywords + Lag,ARIMAX,3,102.97,0.4,74.94
Keywords + Lag,ARIMAX,4,88.23,0.17,76.27
Keywords + Lag,ARIMAX,5,45.85,0.08,42.29
Keywords + Lag,ARIMAX,6,44.24,0.11,43.44
Keywords + Lag,ARIMAX,7,103.17,0.28,94.51
Keywords + Lag,ARIMAX,8,243.51,0.28,216.42
Keywords + Lag,ARIMAX,9,377.14,0.55,373.89
Keywords + Lag,ARIMAX,10,215.93,0.59,196.55
Keywords + Lag,ARIMAX,11,144.52,0.24,127.83
Keywords + Lag,ARIMAX,12,155.32,0.13,117.76
Keywords + Lag,ARIMAX,13,112.89,0.12,95.19
Keywords + Lag,ARIMAX,14,223.64,0.34,194.41
Keywords + Lag,ARIMAX,15,399.62,0.64,387.5
Keywords + Lag,ARIMAX,16,283.2,0.25,226.33
Keywords + Lag,ARIMAX,17,536.29,0.61,468.57
Keywords + Lag,ARIMAX,18,86.78,0.11,65.27
Keywords + Lag,ARIMAX,19,61.26,0.12,58.62
Keywords + Lag,ARIMAX,20,57.08,0.06,44.27
Keywords + Lag,ARIMAX,21,79.56,0.05,51.12
Keywords + Lag,ARIMAX,22,345.07,0.29,328.09
Keywords + Lag,ARIMAX,23,803.28,0.94,592.18
Keywords + Lag,ARIMAX,24,601.72,0.44,574.35
Keywords + Lag,ARIMAX,25,202.4,0.09,137.86
Keywords + Lag,ARIMAX,26,416.18,0.14,266.42
Keywords + Lag,ARIMAX,27,61.81,0.04,45.76
Keywords + Lag,ARIMAX,28,196.96,0.13,180.66
Keywords + Lag,ARIMAX,29,209.86,0.15,206.53
Keywords + Lag,ARIMAX,30,284.62,0.2,231.06
Keywords + Lag,ARIMAX,31,499.77,0.38,434.35
Keywords + Lag,ARIMAX,32,159.94,0.09,137.99
Keywords + Lag,ARIMAX,33,197.62,0.09,146.47
Keywords + Lag,ARIMAX,34,100.5,0.06,87.17
Keywords + Lag,ARIMAX,35,229.54,0.11,189.19
Keywords + Lag,ARIMAX,36,307.44,0.13,253.38
Keywords + Lag,ARIMAX,37,181.83,0.08,174.46
Keywords + Lag,ARIMAX,38,741.5,0.17,574.63
Keywords + Lag,ARIMAX,39,242.66,0.08,219.68
Keywords + Lag,ARIMAX,40,419.06,0.09,318.8
Keywords + Lag,ARIMAX,41,353.51,0.09,352.51
Keywords + Lag,ARIMAX,42,1330.19,0.16,1075.13
Keywords + Lag,ARIMAX,43,1343.45,0.24,1163.94
Keywords + Lag,ARIMAX,44,674.09,0.08,539.11
Keywords + Lag,ARIMAX,45,1926.02,0.17,1453.21
Keywords + Lag,ARIMAX,46,9511.04,0.37,6616.31
Keywords + Lag,ARIMAX,47,17107.95,1.68,12651.19
Keywords + Lag,ARIMAX,48,17491.93,2.72,17073.57
Keywords + Lag,ARIMAX,49,2540.94,0.2,2310.76
Keywords + Lag,ARIMAX,50,14277.69,0.42,10602.36
Keywords + Lag,ARIMAX,51,10584.53,1.09,9791.32
Keywords + Lag,ARIMAX,52,1916.21,0.14,1782.66
Keywords + Lag,ARIMAX,53,1513.9,0.09,1265.34
Keywords + Lag,ARIMAX,54,7316.24,0.17,4631.61
Keywords + Lag,ARIMAX,55,6378.75,0.4,6309.16
Keywords + Lag,ARIMAX,56,1147.65,0.05,925.37
Keywords + Lag,ARIMAX,57,1854.41,0.08,1423.58
Keywords + Lag,ARIMAX,58,3564.75,0.11,2262.37
Keywords + Lag,ARIMAX,59,5221.72,0.18,3889.78
Keywords + Lag,ARIMAX,60,4793.48,0.18,4245.73
Keywords + Lag,ARIMAX,61,4546.71,0.14,3602.25
Keywords + Lag,ARIMAX,62,2216.55,0.08,1880.28
