Features,Model,Forecasting window,RMSE,MAPE,MAE
Fuel + Lag,XGBoost,50,10160.29,0.33,7978.45
Fuel + Lag,XGBoost,51,6925.86,0.59,4960.42
Fuel + Lag,XGBoost,52,2813.0,0.14,2015.55
Fuel + Lag,XGBoost,53,2326.37,0.13,1936.93
Fuel + Lag,XGBoost,54,937.5,0.04,664.79
Fuel + Lag,XGBoost,55,5128.38,0.24,4221.03
Fuel + Lag,XGBoost,56,1257.37,0.06,1006.64
Fuel + Lag,XGBoost,57,1337.43,0.07,1200.3
Fuel + Lag,XGBoost,58,3715.2,0.13,2654.74
Fuel + Lag,XGBoost,59,5349.34,0.18,3963.62
Fuel + Lag,XGBoost,60,3769.39,0.14,3290.08
Fuel + Lag,XGBoost,61,8629.65,0.33,8487.59
Fuel + Lag,XGBoost,62,2885.55,0.11,2467.6
Fuel + Lag,XGBoost,63,3276.67,0.09,2528.0
Fuel + Lag,XGBoost,64,601.01,0.02,507.82
Fuel + Lag,XGBoost,65,2506.7,0.08,2162.08
Fuel + Lag,XGBoost,66,10216.42,0.28,9669.85
Fuel + Lag,ARIMAX,1,115.72,0.32,99.65
Fuel + Lag,ARIMAX,2,430.55,1.72,420.19
Fuel + Lag,ARIMAX,3,328.07,1.46,325.85
Fuel + Lag,ARIMAX,4,93.67,0.15,65.7
Fuel + Lag,ARIMAX,5,311.59,0.55,294.91
Fuel + Lag,ARIMAX,6,96.3,0.26,87.63
Fuel + Lag,ARIMAX,7,166.92,0.45,152.67
Fuel + Lag,ARIMAX,8,217.08,0.29,207.02
Fuel + Lag,ARIMAX,9,346.16,0.49,334.73
Fuel + Lag,ARIMAX,10,291.74,0.74,264.16
Fuel + Lag,ARIMAX,11,118.94,0.19,101.95
Fuel + Lag,ARIMAX,12,178.46,0.2,167.27
Fuel + Lag,ARIMAX,13,56.57,0.07,56.04
Fuel + Lag,ARIMAX,14,257.23,0.41,249.23
Fuel + Lag,ARIMAX,15,342.02,0.35,266.08
Fuel + Lag,ARIMAX,16,195.44,0.17,157.6
Fuel + Lag,ARIMAX,17,247.17,0.31,242.39
Fuel + Lag,ARIMAX,18,84.59,0.13,76.97
Fuel + Lag,ARIMAX,19,150.51,0.29,146.85
Fuel + Lag,ARIMAX,20,31.8,0.03,26.31
Fuel + Lag,ARIMAX,21,81.98,0.06,54.13
Fuel + Lag,ARIMAX,22,542.14,0.39,480.83
Fuel + Lag,ARIMAX,23,708.56,0.89,612.85
Fuel + Lag,ARIMAX,24,466.23,0.32,408.7
Fuel + Lag,ARIMAX,25,204.31,0.11,157.7
Fuel + Lag,ARIMAX,26,400.54,0.18,297.44
Fuel + Lag,ARIMAX,27,253.0,0.2,249.68
Fuel + Lag,ARIMAX,28,120.19,0.07,98.13
Fuel + Lag,ARIMAX,29,224.12,0.15,202.11
Fuel + Lag,ARIMAX,30,150.81,0.11,134.67
Fuel + Lag,ARIMAX,31,393.05,0.33,387.3
Fuel + Lag,ARIMAX,32,210.63,0.12,183.97
Fuel + Lag,ARIMAX,33,235.5,0.13,192.8
Fuel + Lag,ARIMAX,34,139.71,0.09,131.69
Fuel + Lag,ARIMAX,35,215.62,0.09,161.06
Fuel + Lag,ARIMAX,36,353.34,0.13,271.57
Fuel + Lag,ARIMAX,37,314.85,0.11,263.33
Fuel + Lag,ARIMAX,38,883.0,0.21,688.6
Fuel + Lag,ARIMAX,39,305.9,0.09,256.06
Fuel + Lag,ARIMAX,40,338.98,0.08,286.01
Fuel + Lag,ARIMAX,41,401.3,0.1,392.72
Fuel + Lag,ARIMAX,42,1577.39,0.18,1206.29
Fuel + Lag,ARIMAX,43,1535.05,0.28,1381.73
Fuel + Lag,ARIMAX,44,1317.14,0.17,1097.52
Fuel + Lag,ARIMAX,45,1827.35,0.17,1439.93
Fuel + Lag,ARIMAX,46,9332.52,0.4,6838.15
Fuel + Lag,ARIMAX,47,19302.0,2.11,15710.01
Fuel + Lag,ARIMAX,48,20441.93,3.09,20419.52
Fuel + Lag,ARIMAX,49,2839.89,0.24,2716.46
Fuel + Lag,ARIMAX,50,11854.35,0.3,8177.38
Fuel + Lag,ARIMAX,51,12265.62,1.22,11073.35
Fuel + Lag,ARIMAX,52,1606.77,0.11,1408.56
Fuel + Lag,ARIMAX,53,1530.04,0.1,1529.78
Fuel + Lag,ARIMAX,54,6675.52,0.19,4753.45
Fuel + Lag,ARIMAX,55,4871.57,0.32,4862.57
Fuel + Lag,ARIMAX,56,828.41,0.05,801.16
Fuel + Lag,ARIMAX,57,1705.73,0.1,1689.96
Fuel + Lag,ARIMAX,58,2802.43,0.13,2433.67
Fuel + Lag,ARIMAX,59,3351.13,0.1,2306.71
Fuel + Lag,ARIMAX,60,2434.88,0.11,2388.19
Fuel + Lag,ARIMAX,61,3945.76,0.14,3367.22
Fuel + Lag,ARIMAX,62,3668.65,0.14,3201.65
Fuel + Lag,ARIMAX,63,3504.11,0.1,2727.76
Fuel + Lag,ARIMAX,64,1521.66,0.05,1346.76
Fuel + Lag,ARIMAX,65,1905.1,0.07,1712.68
Fuel + Lag,ARIMAX,66,4129.14,0.11,3805.92
All Features,Linear Regression,1,889.04,2.86,848.09
All Features,Linear Regression,2,223.71,0.89,218.32
All Features,Linear Regression,3,3678.16,16.76,3668.75
All Features,Linear Regression,4,309.54,0.64,301.13
All Features,Linear Regression,5,218.61,0.38,188.4
All Features,Linear Regression,6,101.03,0.24,89.36
All Features,Linear Regression,7,292.49,0.59,240.6
All Features,Linear Regression,8,221.76,0.26,197.2
All Features,Linear Regression,9,189.35,0.18,149.05
All Features,Linear Regression,10,120.22,0.35,104.26
All Features,Linear Regression,11,424.14,0.83,400.03
All Features,Linear Regression,12,207.52,0.22,194.04
All Features,Linear Regression,13,104.08,0.11,87.71
All Features,Linear Regression,14,262.33,0.25,204.91
All Features,Linear Regression,15,272.55,0.4,254.85
All Features,Linear Regression,16,33.04,0.03,31.12
All Features,Linear Regression,17,435.38,0.51,380.58
All Features,Linear Regression,18,331.75,0.6,328.72
All Features,Linear Regression,19,183.3,0.34,175.88
All Features,Linear Regression,20,80.25,0.06,54.66
All Features,Linear Regression,21,107.75,0.07,68.78
All Features,Linear Regression,22,378.17,0.27,327.32
All Features,Linear Regression,23,823.91,1.25,705.13
All Features,Linear Regression,24,448.34,0.26,371.26
All Features,Linear Regression,25,320.51,0.24,312.97
All Features,Linear Regression,26,428.29,0.14,264.98
All Features,Linear Regression,27,360.51,0.29,348.73
All Features,Linear Regression,28,74.71,0.05,66.61
All Features,Linear Regression,29,327.69,0.22,299.98
All Features,Linear Regression,30,593.42,0.5,591.79
All Features,Linear Regression,31,466.34,0.35,339.22
All Features,Linear Regression,32,98.66,0.04,61.38
All Features,Linear Regression,33,251.45,0.15,220.96
All Features,Linear Regression,34,208.79,0.15,207.76
All Features,Linear Regression,35,143.68,0.09,132.44
All Features,Linear Regression,36,315.4,0.15,307.48
All Features,Linear Regression,37,290.66,0.1,231.05
All Features,Linear Regression,38,935.39,0.22,729.67
All Features,Linear Regression,39,278.27,0.07,227.44
All Features,Linear Regression,40,502.92,0.12,419.59
All Features,Linear Regression,41,386.53,0.1,377.78
All Features,Linear Regression,42,1393.09,0.17,1120.22
All Features,Linear Regression,43,1473.54,0.25,1242.87
All Features,Linear Regression,44,996.24,0.11,755.0
All Features,Linear Regression,45,2184.96,0.2,1730.37
All Features,Linear Regression,46,8592.91,0.38,6392.86
All Features,Linear Regression,47,18001.85,1.78,13424.7
All Features,Linear Regression,48,15646.66,2.34,15294.38
All Features,Linear Regression,49,2193.04,0.17,1949.24
All Features,Linear Regression,50,13472.76,0.33,9200.16
All Features,Linear Regression,51,10853.03,1.13,10297.93
All Features,Linear Regression,52,2775.75,0.17,2275.65
All Features,Linear Regression,53,1968.25,0.11,1613.65
All Features,Linear Regression,54,7853.02,0.21,5364.97
All Features,Linear Regression,55,7884.65,0.48,7646.7
All Features,Linear Regression,56,2873.69,0.15,2451.92
All Features,Linear Regression,57,4560.55,0.27,4483.9
All Features,Linear Regression,58,6148.09,0.32,5757.22
All Features,Linear Regression,59,4669.56,0.16,3408.09
All Features,Linear Regression,60,3467.02,0.13,3105.78
All Features,Linear Regression,61,4290.08,0.12,3203.61
All Features,Linear Regression,62,1816.49,0.07,1628.63
All Features,Linear Regression,63,4394.0,0.11,3139.1
All Features,Linear Regression,64,1914.73,0.05,1377.4
All Features,Linear Regression,65,1053.19,0.03,802.65
All Features,Linear Regression,66,8181.73,0.23,7857.3
All Features,XGBoost,1,47.54,0.11,37.67
All Features,XGBoost,2,67.31,0.23,59.75
All Features,XGBoost,3,85.75,0.37,69.65
All Features,XGBoost,4,194.42,0.38,182.46
All Features,XGBoost,5,59.58,0.09,48.69
All Features,XGBoost,6,124.27,0.32,101.29
All Features,XGBoost,7,124.52,0.33,118.59
All Features,XGBoost,8,344.53,0.46,339.7
All Features,XGBoost,9,198.99,0.24,175.79
All Features,XGBoost,10,278.21,0.67,232.1
All Features,XGBoost,11,100.3,0.14,77.1
All Features,XGBoost,12,181.82,0.17,160.37
All Features,XGBoost,13,173.12,0.22,158.91
All Features,XGBoost,14,165.54,0.25,152.15
All Features,XGBoost,15,281.15,0.42,257.57
All Features,XGBoost,16,37.42,0.04,34.87
All Features,XGBoost,17,140.5,0.14,103.51
All Features,XGBoost,18,226.08,0.38,205.52
All Features,XGBoost,19,117.07,0.19,94.4
All Features,XGBoost,20,95.04,0.07,56.89
All Features,XGBoost,21,45.13,0.05,44.09
All Features,XGBoost,22,527.94,0.37,464.29
All Features,XGBoost,23,527.27,0.63,452.96
All Features,XGBoost,24,551.7,0.41,546.07
All Features,XGBoost,25,170.12,0.11,154.49
All Features,XGBoost,26,682.69,0.31,515.48
All Features,XGBoost,27,318.12,0.19,261.67
All Features,XGBoost,28,321.95,0.19,264.06
All Features,XGBoost,29,210.79,0.14,200.61
All Features,XGBoost,30,240.3,0.2,238.67
All Features,XGBoost,31,416.07,0.2,308.15
All Features,XGBoost,32,300.18,0.19,299.81
All Features,XGBoost,33,334.6,0.21,310.3
All Features,XGBoost,34,216.02,0.11,173.02
All Features,XGBoost,35,424.51,0.28,422.95
All Features,XGBoost,36,630.86,0.29,600.39
All Features,XGBoost,37,499.49,0.22,496.66
All Features,XGBoost,38,939.11,0.19,667.52
All Features,XGBoost,39,915.68,0.25,805.33
All Features,XGBoost,40,874.51,0.2,727.87
All Features,XGBoost,41,2027.22,0.45,1889.68
All Features,XGBoost,42,2877.25,0.32,2181.48
All Features,XGBoost,43,1997.62,0.27,1649.62
All Features,XGBoost,44,1436.56,0.19,1251.03
All Features,XGBoost,45,2555.45,0.29,2271.23
All Features,XGBoost,46,11504.59,0.52,8198.04
All Features,XGBoost,47,9028.66,0.82,5711.36
All Features,XGBoost,48,2367.22,0.28,1821.91
All Features,XGBoost,49,2706.29,0.23,2567.97
All Features,XGBoost,50,9801.67,0.38,8316.14
All Features,XGBoost,51,11717.09,1.34,11482.03
All Features,XGBoost,52,3183.53,0.17,2468.69
All Features,XGBoost,53,728.5,0.05,689.23
All Features,XGBoost,54,3593.57,0.13,2902.87
All Features,XGBoost,55,3020.76,0.19,2766.81
All Features,XGBoost,56,1001.46,0.05,939.3
All Features,XGBoost,57,1104.47,0.06,999.23
All Features,XGBoost,58,3872.9,0.15,2987.33
All Features,XGBoost,59,5808.7,0.23,4759.21
All Features,XGBoost,60,5489.61,0.21,5055.71
All Features,XGBoost,61,8089.08,0.31,7918.63
All Features,XGBoost,62,1916.27,0.07,1576.67
All Features,XGBoost,63,6679.44,0.2,5424.56
All Features,XGBoost,64,5742.1,0.21,5615.09
All Features,XGBoost,65,1849.06,0.06,1673.43
All Features,XGBoost,66,11076.71,0.29,10376.12
All Features,ARIMAX,1,889.1,2.86,848.14
All Features,ARIMAX,2,224.21,0.89,218.85
All Features,ARIMAX,3,3728.33,16.99,3719.08
All Features,ARIMAX,4,276.75,0.58,271.52
All Features,ARIMAX,5,251.55,0.47,239.8
All Features,ARIMAX,6,88.26,0.14,59.02
All Features,ARIMAX,7,247.74,0.49,201.51
All Features,ARIMAX,8,344.97,0.41,312.62
All Features,ARIMAX,9,329.66,0.4,291.32
All Features,ARIMAX,10,203.56,0.6,200.76
All Features,ARIMAX,11,195.78,0.34,167.81
All Features,ARIMAX,12,97.71,0.1,80.27
All Features,ARIMAX,13,176.59,0.21,151.64
All Features,ARIMAX,14,324.8,0.32,260.28
All Features,ARIMAX,15,428.18,0.67,353.95
All Features,ARIMAX,16,154.58,0.14,125.73
All Features,ARIMAX,17,487.85,0.57,422.12
All Features,ARIMAX,18,229.41,0.42,228.4
All Features,ARIMAX,19,88.02,0.16,76.77
All Features,ARIMAX,20,54.65,0.06,50.99
All Features,ARIMAX,21,98.55,0.08,74.17
All Features,ARIMAX,22,514.65,0.34,443.19
All Features,ARIMAX,23,784.3,1.11,731.58
All Features,ARIMAX,24,758.34,0.58,749.17
All Features,ARIMAX,25,277.29,0.14,200.32
All Features,ARIMAX,26,487.11,0.17,313.47
All Features,ARIMAX,27,273.14,0.18,242.4
All Features,ARIMAX,28,154.36,0.1,146.33
All Features,ARIMAX,29,198.21,0.13,180.58
All Features,ARIMAX,30,269.72,0.21,254.97
All Features,ARIMAX,31,505.13,0.42,472.36
All Features,ARIMAX,32,254.19,0.15,240.64
All Features,ARIMAX,33,266.36,0.12,193.82
All Features,ARIMAX,34,119.88,0.09,113.29
All Features,ARIMAX,35,119.73,0.06,106.99
All Features,ARIMAX,36,296.16,0.12,250.12
All Features,ARIMAX,37,183.51,0.08,177.44
All Features,ARIMAX,38,767.92,0.19,620.38
All Features,ARIMAX,39,279.84,0.09,262.69
All Features,ARIMAX,40,415.63,0.09,327.02
All Features,ARIMAX,41,392.65,0.1,388.05
All Features,ARIMAX,42,1392.13,0.17,1121.48
All Features,ARIMAX,43,1429.58,0.24,1179.42
All Features,ARIMAX,44,894.39,0.1,652.47
All Features,ARIMAX,45,1925.22,0.17,1469.06
All Features,ARIMAX,46,9153.19,0.37,6490.98
All Features,ARIMAX,47,18623.02,1.96,14663.25
All Features,ARIMAX,48,16307.53,2.47,16029.36
All Features,ARIMAX,49,1422.53,0.09,1086.25
All Features,ARIMAX,50,13395.87,0.32,9063.34
All Features,ARIMAX,51,11128.31,1.18,10642.67
All Features,ARIMAX,52,2960.86,0.16,2227.49
All Features,ARIMAX,53,2002.65,0.11,1689.31
All Features,ARIMAX,54,7709.54,0.21,5351.17
All Features,ARIMAX,55,7552.37,0.46,7316.82
All Features,ARIMAX,56,2851.73,0.15,2434.84
All Features,ARIMAX,57,4495.68,0.27,4419.33
All Features,ARIMAX,58,6319.05,0.33,5989.85
All Features,ARIMAX,59,4818.15,0.17,3586.2
All Features,ARIMAX,60,3295.76,0.13,3046.38
All Features,ARIMAX,61,4396.13,0.13,3363.19
All Features,ARIMAX,62,2081.64,0.08,1801.26
All Features,ARIMAX,63,4430.09,0.11,3039.76
All Features,ARIMAX,64,1859.47,0.05,1363.03
All Features,ARIMAX,65,1092.18,0.03,717.88
All Features,ARIMAX,66,7728.77,0.21,7398.86
